Player,From,To,Fee,Window,Club
Kepa Arrizabalaga,Chelsea,Arsenal,£5m,Summer 2025,Arsenal
Martín Zubimendi,Real Sociedad,Arsenal,£51m,Summer 2025,Arsenal
Christian Nørgaard,Brentford,Arsenal,£15m,Summer 2025,Arsenal
Noni Madueke,Chelsea,Arsenal,£52m,Summer 2025,Arsenal
Cristhian Mosquera,Valencia,Arsenal,£13m,Summer 2025,Arsenal
Viktor Gyökeres,Sporting CP,Arsenal,£63.5m,Summer 2025,Arsenal
Eberechi Eze,Crystal Palace,Arsenal,£67.5m,Summer 2025,Arsenal
Piero Hincapié,Bayer Leverkusen,Arsenal,Loan (loan),Summer 2025,Arsenal
Jorginho,Arsenal,Flamengo,Free,Summer 2025,Arsenal
Kieran Tierney,Arsenal,Celtic,Free,Summer 2025,Arsenal
Nuno Tavares,Arsenal,Lazio,£7.5m,Summer 2025,Arsenal
Marquinhos,Arsenal,Cruzeiro,Undisclosed,Summer 2025,Arsenal
Albert Sambi Lokonga,Arsenal,Hamburg,Undisclosed,Summer 2025,Arsenal
Takehiro Tomiyasu,Arsenal,Released,Released,Summer 2025,Arsenal
Thomas Partey,Arsenal,Released,Released,Summer 2025,Arsenal
Ismaël Kabia,Arsenal,Shrewsbury,Loan,Summer 2025,Arsenal

Yasin Özcan,Kasimpasa,Aston Villa,Undisclosed,Summer 2025,Aston Villa
Zepiqueno Redmond,Feyenoord,Aston Villa,Free,Summer 2025,Aston Villa
Marco Bizot,Brest,Aston Villa,Undisclosed,Summer 2025,Aston Villa
Evann Guessand,Nice,Aston Villa,£28m,Summer 2025,Aston Villa
Victor Lindelöf,Manchester United,Aston Villa,Free,Summer 2025,Aston Villa
Jadon Sancho,Manchester United,Aston Villa,Loan,Summer 2025,Aston Villa
Harvey Elliott,Liverpool,Aston Villa,Loan,Summer 2025,Aston Villa
Alysson,Gremio,Aston Villa,£10m,January 2026,Aston Villa
Brian Madjo,Metz,Aston Villa,Undisclosed,January 2026,Aston Villa
Tammy Abraham,Besiktas,Aston Villa,£18.2m,January 2026,Aston Villa
Robin Olsen,Aston Villa,Malmö,Free,Summer 2025,Aston Villa
Kaine Kesler-Hayden,Aston Villa,Coventry City,£3.5m,Summer 2025,Aston Villa
Enzo Barrenechea,Aston Villa,Benfica,Loan,Summer 2025,Aston Villa
Modou Kéba Cissé,Aston Villa,LASK,Loan,Summer 2025,Aston Villa
Rico Richards,Aston Villa,Port Vale,Undisclosed,Summer 2025,Aston Villa
Josh Feeney,Aston Villa,Huddersfield,Loan,Summer 2025,Aston Villa
Joshua Borland,Aston Villa,Swindon,Loan,January 2026,Aston Villa

Bafodé Diakité,Lille,Bournemouth,£35m,Summer 2025,Bournemouth
Đorđe Petrović,Chelsea,Bournemouth,£25m,Summer 2025,Bournemouth
Adrien Truffert,Rennes,Bournemouth,£14.4m,Summer 2025,Bournemouth
Ben Gannon-Doak,Liverpool,Bournemouth,£25m,Summer 2025,Bournemouth
Amine Adli,Bayer Leverkusen,Bournemouth,£25.1m,Summer 2025,Bournemouth
Veljko Milosavljević,Crvena zvezda,Bournemouth,£13m,Summer 2025,Bournemouth
Alex Jiménez,AC Milan,Bournemouth,Loan,Summer 2025,Bournemouth
Fraser Forster,Free agent,Bournemouth,Free,January 2026,Bournemouth
Ade Solanke,Lorient,Bournemouth,Undisclosed,January 2026,Bournemouth
Alex Tóth,Ferencváros,Bournemouth,£13m,January 2026,Bournemouth
Rayan,Vasco da Gama,Bournemouth,£30.3m,January 2026,Bournemouth
Illia Zabarnyi,Bournemouth,PSG,£54.5m,Summer 2025,Bournemouth
Milos Kerkez,Bournemouth,Liverpool,£40m,Summer 2025,Bournemouth
Dean Huijsen,Bournemouth,Real Madrid,£50m,Summer 2025,Bournemouth
Jaidon Anthony,Bournemouth,Burnley,£8m,Summer 2025,Bournemouth
Mark Travers,Bournemouth,Everton,£4m,Summer 2025,Bournemouth
Max Aarons,Bournemouth,Rangers,Loan,Summer 2025,Bournemouth
Dango Ouattara,Bournemouth,Brentford,£42m,Summer 2025,Bournemouth
Julian Araujo,Bournemouth,Celtic,Loan,January 2026,Bournemouth
Antoine Semenyo,Bournemouth,Man City,£64m,January 2026,Bournemouth
Romain Faivre,Bournemouth,Auxerre,Undisclosed,January 2026,Bournemouth
Will Dennis,Bournemouth,Leyton Orient,Loan,January 2026,Bournemouth

Michael Kayode,Fiorentina,Brentford,£14m,Summer 2025,Brentford
Romelle Donovan,Birmingham City,Brentford,Undisclosed,Summer 2025,Brentford
Caoimhín Kelleher,Liverpool,Brentford,£18m,Summer 2025,Brentford
Antoni Milambo,Feyenoord,Brentford,£18.8m,Summer 2025,Brentford
Reiss Nelson,Arsenal,Brentford,Loan,Summer 2025,Brentford
